"Processo","Titular","Localidade","Guia","Substancia","QuantidadeMinerio","DataPublicacao","Prazo","IndicaProrrogacao"
"861.493/2010","MARCOS PAULO FERREIRA","NIQUELÂNDIA/GO, SANTA RITA DO NOVO DESTINO/GO","14","Areia","35.000 t","20/06/2018","10/06/2019","Não"
"861.594/2010","MIGUEL COSTA DE SANTANA","GOIÁS/GO","6","AREIA","5.000 toneladas","30/05/2014","20/05/2014","Não"
"861.598/2010","STRACTA MINERAÇÃO LTDA","BARRO ALTO/GO","37","Argila Refratária","15.000 t","05/12/2018","30/11/2019","Não"
"861.598/2010","STRACTA MINERAÇÃO LTDA","BARRO ALTO/GO","8","ARGILA REFRATÁRIA","60.000 t/ano","03/02/2021","3","Não"
"861.610/2010","MINERAÇÃO RIO CLARO LTDA","IVOLÂNDIA/GO","58","58-Areia e 59-Cascalho Diamantífero","58-50.000 e 59-50.000 toneladas","19/12/2013","12/05/2014","Não"
"861.610/2010","MINERAÇÃO RIO CLARO LTDA","IVOLÂNDIA/GO","62","AREIA E CASCALHO DIAMANTÍFERO","50.000 e 50.000 toneladas","16/11/2012","04/07/2013 E 04/07/2013","Não"
"861.694/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","58","MINÉRIO DE TERRAS RARAS","50.000 Toneladas","02/10/2013","02/03/2014","Não"
"861.810/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","49","AREIA","50.000 toneladas","24/09/2014","15/06/2016","Não"
"861.810/2010","AREIA SÃO JOSE EXTRAÇÃO, COMÉRCIO E TRANSPORTE LTDA ME","ARAGUARI/MG, CORUMBAÍBA/GO","12","AREIA","50.000 Toneladas","28/06/2019","28/11/2020","Não"
"861.810/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","10","Areia","50.000 t","06/06/2018","16/05/2019","Não"
"861.835/2010","DANTAS MINERIOS LTDA","GUAPÓ/GO","39","GNAISSE","50.000 toneladas","24/09/2014","27/06/2015","Não"
"861.837/2010","SR COMÉRCIO DE PEDRAS LTDA ME","COCALZINHO DE GOIÁS/GO, PIRENÓPOLIS/GO","36","QUARTZITO E AREIA","15.000 e 50.000 toneladas","13/06/2013","31/03/2014","Não"
"861.837/2010","SR COMÉRCIO DE PEDRAS LTDA ME","COCALZINHO DE GOIÁS/GO, PIRENÓPOLIS/GO","22","22 (QUARTZITO para produção de areia) E 23 (QUARTZITO ROCHA ORNAMENTAL).","22 ( 50.000) E 23 (15.000) toneladas","14/09/2017","22 E 23 (04/07/2018).","Não"
"861.899/2010","FERNANDO CESAR CINTRA","ARAGUAPAZ/GO","23","GRANITO","13.500 toneladas","13/06/2012","31/03/2013","Não"
"861.905/2010","CECRISA REVESTIMENTOS CERÂMICOS S/A","ALOÂNDIA/GO, MORRINHOS/GO","3","TALCO","5.000 toneladas","23/02/2016","05/01/2017","Não"
"860.168/2011","AGROINDUSTRIAL FAZENDA MARQUESA LTDA","RIO VERDE/GO, SANTO ANTÔNIO DA BARRA/GO","205","Minério de Rocha Potássica beneficiada","300.000 toneladas","02/06/2025","3 anos","Não"
"860.262/2011","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","55","MINÉRIO DE TERRAS RARAS","50.000 toneladas","02/10/2013","23/08/2014","Não"
"860.317/2011","INVEST RENDA, MINERAÇÃO, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO","ARUANÃ/GO","33","CASCALHO (33/2016) e AREIA (35/2016)","8.500 (33/2016) e 50.000(35/2016) toneladas","06/07/2016","22/12/2016","Não"
"860.326/2011","CONSTRUTORA JAD LTDA","CEZARINA/GO, EDEALINA/GO, PONTALINA/GO","76","Areia","5.000 toneladas","19/12/2013","11/09/2014","Não"
"860.326/2011","CONSTRUTORA JAD LTDA","CEZARINA/GO, EDEALINA/GO, PONTALINA/GO","55","AREIA","5.000 toneladas","08/12/2015","10/09/2016","Não"
"860.326/2011","CONSTRUTORA JAD LTDA","CEZARINA/GO, EDEALINA/GO, PONTALINA/GO","79","Areia","19.200 toneladas","17/10/2011","04/05/2012","Não"
"860.469/2011","IRENILDA DE OLIVEIRA COSTA","CORUMBÁ DE GOIÁS/GO, PIRENÓPOLIS/GO","14","QUARTZITO","50.000 toneladas","17/05/2013","31/05/2013","Não"
"860.469/2011","IRENILDA DE OLIVEIRA COSTA","CORUMBÁ DE GOIÁS/GO, PIRENÓPOLIS/GO","32","AREIA","50.000 toneladas","13/06/2013","28/11/2013","Não"
"860.560/2011","HELIO SILVESTRE DE OLIVEIRA","BURITI DE GOIÁS/GO, CÓRREGO DO OURO/GO","84","Areia","14.610 toneladas","19/12/2013","22/06/2014","Não"
"860.560/2011","HELIO SILVESTRE DE OLIVEIRA","BURITI DE GOIÁS/GO, CÓRREGO DO OURO/GO","70","AREIA","14.610 toneladas","11/12/2014","15/07/2015","Não"
"860.560/2011","HELIO SILVESTRE DE OLIVEIRA ME","BURITI DE GOIÁS/GO, CÓRREGO DO OURO/GO","21","AREIA","10.670 toneladas","06/07/2016","24/03/2017","Não"
"860.699/2011","OURO PRETO MINERAÇÃO DE BRITA LTDA","INDIARA/GO","75","GNAISSE (prod. de brita)","40.000 toneladas","11/12/2014","07/03/2015","Não"
"860.699/2011","OURO PRETO MINERAÇÃO DE BRITA LTDA","INDIARA/GO","107","Granito","40.000 toneladas","27/10/2011","02/04/2012","Não"
"860.808/2011","C A DA CRUZ EIRELI","ITAPURANGA/GO, MORRO AGUDO DE GOIÁS/GO","113","AREIA","24.000 Toneladas","24/10/2022","03 (TRÊS) ANOS","Não"
"860.839/2011","ONEDELAND NASCIMENTO TEIXEIRA NETO","SÃO JOÃO D'ALIANÇA/GO","125","AREIA","11.205 TONELADAS","23/01/2012","25/10/2012","Não"
"861.071/2011","MINERAÇÃO NOVO HORIZONTE ME","CRISTALINA/GO","5","CALCÁRIO (produção de brita)","50.000 toneladas","25/04/2018","10/04/2019","Não"
"861.232/2011","MINERAÇÃO RLRJ LTDA ME","AURILÂNDIA/GO","13","AREIA","13.000 toneladas","30/05/2014","05/12/2014","Não"
"861.249/2011","FLAVIO HENRIQUE ROSA DO PRADO","EDEALINA/GO, PONTALINA/GO","76","AREIA","30.000 toneladas","11/12/2014","23/10/2015","Não"
"861.270/2011","SYLVIO ROBERTO PEREIRA BARBOSA EIRELI ME","CORUMBÁ DE GOIÁS/GO","10","AREIA","50.000 toneladas","23/02/2016","10/02/2017","Não"
"861.272/2011","ARCAL MINERADORA LTDA EPP","ABADIÂNIA/GO","42","AREIA","25.000 toneladas","21/12/2016","10/08/2017","Não"
"861.272/2011","ARCAL MINERADORA LTDA EPP","ABADIÂNIA/GO","15","Areia","30.000 t","21/06/2018","15/06/2019","Não"
"861.287/2011","HELIO SILVESTRE DE OLIVEIRA","CÓRREGO DO OURO/GO","15","AREIA","13.133 toneladas","19/08/2015","26/02/2016","Não"
"861.353/2011","CELTON HOTTINGER RODRIGUES","IPORÁ/GO, IVOLÂNDIA/GO","44","AREIA","10.000 toneladas","26/06/2013","23/08/2013","Não"
"861.550/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","79","Areia","19.700 toneladas","19/12/2013","19/10/2014","Não"
"861.550/2011","DRAGA CORUMBÁ LTDA ME","CALDAS NOVAS/GO, IPAMERI/GO","43","AREIA","24.000 toneladas","19/08/2015","15/04/2016","Não"
"861.550/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","30","AREIA","19.700 toneladas","29/06/2012","14/05/2013","Não"
"861.551/2011","COMERCIO VAREJISTA E ATACADISTA DE MATERIAIS DE CONSTRUCAO LTDA","SERRANÓPOLIS/GO","124","AREIA","50.000 TONELADAS/ANO","16/12/2021","03 (TRÊS) ANOS A CONTAR DA PUBLICAÇÃO NO DIÁRIO OFICIAL DA UNIÃO","Não"
"861.554/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","32","AREIA","13.130 toneladas","29/06/2012","14/05/2013","Não"
"861.554/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","68","Areia","14.000 toneladas","19/12/2013","01/10/2014","Não"
"861.555/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","80","Areia","22.980 toneladas","19/12/2013","19/10/2014","Não"
"861.555/2011","DRAGA CORUMBÁ LTDA ME","CALDAS NOVAS/GO, IPAMERI/GO","44","AREIA","24.000 toneladas","19/08/2015","15/04/2016","Não"
"861.555/2011","E.G. MARCOLINO TRANSPORTE","CALDAS NOVAS/GO, IPAMERI/GO","31","AREIA","22.980 toneladas","29/06/2012","14/05/2013","Não"
"861.622/2011","MINERADORA SANTA BARBARA LTDA ME","AVELINÓPOLIS/GO, CATURAÍ/GO, TRINDADE/GO","65","ARGILA","12.000 toneladas/ano","04/05/2021","03 (TRÊS) ANOS","Não"
"861.676/2011","SILAS DE OLIVEIRA BRANDAO","CAMPESTRE DE GOIÁS/GO, PALMEIRAS DE GOIÁS/GO","36","AREIA","11.205 toneladas","29/06/2012","10/05/2013","Não"
"861.747/2011","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","35","AREIA","50.000 toneladas","24/09/2014","25/06/2015","Não"
"861.747/2011","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","34","AREIA","50.000 toneladas","06/07/2016","10/06/2017","Não"
"861.786/2011","SELMA ALVES DE LELES SILVA","ITABERAÍ/GO","24","Minério de Manganês","6.000 t","17/08/2018","28/09/2019","Não"
"861.786/2011","PROFERRO MINERADORA LTDA","ITABERAÍ/GO","89","Minério de Manganes","60.000 toneladas/ano","16/04/2020","16/07/2020","Não"
"861.786/2011","PROFERRO MINERADORA EIRELI","ITABERAÍ/GO","19","Minério de Manganês","6.000 Toneladas","30/08/2019","16/07/2020","Não"
"861.786/2011","PROFERRO MINERADORA LTDA","ITABERAÍ/GO","89","Minério de Manganes","60.000 toneladas/ano","12/07/2022","3 anos","Sim"
"862.061/2011","AFRÂNIO FERREIRA FILHO & CIA LTDA ME","GOIÁS/GO","19","AREIA","9.029 toneladas","19/08/2015","21/08/2015","Não"
"862.061/2011","AFRÂNIO FERREIRA FILHO","GOIÁS/GO","63","Areia","9.000 toneladas","19/12/2013","20/09/2014","Não"
"862.061/2011","AFRÂNIO FERREIRA FILHO","GOIÁS/GO","21","AREIA","9.000 toneladas","17/05/2013","14/08/2013","Não"
"862.290/2011","KANOPUS MINERADORA LTDA ME","SILVÂNIA/GO, VIANÓPOLIS/GO","26","AREIA","5.200 toneladas","17/05/2013","20/11/2013","Não"
"862.342/2011","AREIAS CDR LTDA ME","CAVALCANTE/GO","26","AREIA","50.000 toneladas","06/07/2016","21/07/2017","Não"
"862.429/2011","ELOISA CAMARGO ME","JARAGUÁ/GO","48","AREIA","50.000 toneladas","08/12/2015","11/11/2016","Não"
"862.667/2011","MAURO LUCIO DIAS RESENDE","CATALÃO/GO, DAVINÓPOLIS/GO, OUVIDOR/GO","27","27/2014(AREIA), 28/2014(CASCALHO DIAMANTÍFERO) e 29/2014(CASCALHO AGREGADO).","27/2014 (50.000), 28/2014 (50.000) e29/2014 (8.500) toneladas","24/09/2014","10/04/2015","Não"
"862.868/2011","ALFA ROCK CONSTRUTORA LTDA","BURITI DE GOIÁS/GO, MOSSÂMEDES/GO, SANCLERLÂNDIA/GO","12","AREIA","30.000 toneladas","05/04/2013","17/01/2014","Não"
"862.868/2011","ALFA ROCK CONSTRUTORA LTDA","BURITI DE GOIÁS/GO, MOSSÂMEDES/GO, SANCLERLÂNDIA/GO","8","AREIA","30.000 toneladas","23/02/2016","16/04/2016","Não"
"862.868/2011","ALFA ROCK CONSTRUTORA LTDA","BURITI DE GOIÁS/GO, MOSSÂMEDES/GO, SANCLERLÂNDIA/GO","27","Areia","16.416 t","04/01/2018","10/10/2018","Não"
"862.889/2011","THAIS BARBOSA ROCHA","URUAÇU/GO","9","AREIA","30.000 toneladas","23/02/2016","07/08/2016","Não"
"860.378/2012","CONSTRUTORA JAD LTDA","CEZARINA/GO, EDEALINA/GO, PONTALINA/GO","34","AREIA","45.000 toneladas","19/08/2015","20/06/2016","Não"
"860.435/2012","EMERSON MARCIO TEODORO ME","CÓRREGO DO OURO/GO, FAZENDA NOVA/GO, MOIPORÁ/GO","20","AREIA","10.000 toneladas","17/05/2013","15/06/2013","Não"
"860.571/2012","AGROPECUARIA E MINERADORA REVELACAO LTDA ME","GUAPÓ/GO","50","AREIA","26.000 toneladas","24/09/2014","21/11/2014","Não"
"860.751/2012","MINERAÇÃO SUDOESTE E TRANSPORTADORA JUNIOR LTDA","INDIARA/GO, JANDAIA/GO","24","AREIA","20.000 toneladas","19/08/2015","20/02/2016","Não"
"860.989/2012","CERÂMICA CRUZEIRO LTDA","CUMARI/GO","4","ARGILA","12.000 toneladas","23/02/2016","28/10/2016","Não"
"860.989/2012","CERÂMICA CRUZEIRO LTDA","CUMARI/GO","7","ARGILA","12.000 toneladas","12/07/2017","22/09/2017","Não"
"861.045/2012","FERNANDO LOPES PEREIRA","EDEALINA/GO, PONTALINA/GO","51","AREIA","43.200 toneladas","02/09/2013","01/08/2014","Não"
"861.071/2012","LOURIVAL FERREIRA DO NASCIMENTO","GUARANI DE GOIÁS/GO, IACIARA/GO","40","AREIA","50.000 toneladas","19/08/2015","21/11/2015","Não"
"861.071/2012","LOURIVAL FERREIRA DO NASCIMENTO","GUARANI DE GOIÁS/GO, IACIARA/GO","82","82-Areia e 83-Cascalho","82- 50.000e 83-5.000 toneladas","19/12/2013","07/12/2014","Não"
"861.151/2012","DIVINO CARLOS MARQUES FERNANDES","GOIÁS/GO, ITAPIRAPUÃ/GO","12","AREIA","19.699 toneladas","06/07/2016","22/02/2017","Não"
"861.254/2012","CEC MINERADORA LTDA","AURILÂNDIA/GO, SÃO LUÍS DE MONTES BELOS/GO","10","AREIA","12.312 toneladas","14/04/2015","15/02/2016","Não"
"861.305/2012","ESPAÇO CONSTRUÇÕES E PROJETOS LTDA","MOIPORÁ/GO","21","AREIA","50.000 toneladas","19/08/2015","15/10/2015","Não"
"861.305/2012","ESPAÇO CONSTRUÇÕES E PROJETOS LTDA","MOIPORÁ/GO","71","Areia","50.000 toneladas","19/12/2013","16/10/2014","Não"
"861.307/2012","ESPAÇO CONSTRUÇÕES E PROJETOS LTDA","MOIPORÁ/GO","72","Areia","50.000 toneladas","19/12/2013","16/10/2014","Não"
"861.342/2012","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, ANHANGUERA/GO, CUMARI/GO","1","AREIA","50.000 toneladas","30/05/2014","02/01/2015","Não"
"861.342/2012","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, ANHANGUERA/GO, CUMARI/GO","9","AREIA","50.000 toneladas","14/04/2015","09/10/2015","Não"
"861.342/2012","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, ANHANGUERA/GO, CUMARI/GO","6","Areia","50.000 t","28/05/2018","19/05/2019","Não"
"861.355/2012","MAURO SILVEIRA PINTO SOBRINHO","GOIÁS/GO","20","AREIA","22.982 toneladas","06/07/2016","28/03/2017","Não"
"861.355/2012","MAURO SILVEIRA PINTO SOBRINHO","GOIÁS/GO","39","AREIA","22.982 toneladas","19/08/2015","10/12/2015","Não"
"861.479/2012","FIVE STAR MINERAÇÃO LTDA.","OUVIDOR/GO","63","DIAMANTE (minério primário)","50.000 toneladas","23/02/2016","10/11/2017","Não"
"861.479/2012","FIVE STAR MINERAÇÃO LTDA.","OUVIDOR/GO","31","Diamante (minério primário)","50.000 t","04/01/2018","30/11/2018","Não"
"861.692/2012","DANTAS MINERIOS LTDA","GUAPÓ/GO","32","GNAISSE","50.000 toneladas","24/09/2014","10/06/2015","Não"
"861.805/2012","MINERAÇÂO E TRANSPORTES CORUMBÁ LTDA","CALDAS NOVAS/GO, MARZAGÃO/GO","36","AREIA","50.000 toneladas","24/09/2014","21/12/2014","Não"
"861.805/2012","MINERAÇÂO E TRANSPORTES CORUMBÁ LTDA","CALDAS NOVAS/GO, MARZAGÃO/GO","46","AREIA","10.000 toneladas","21/12/2016","10/09/2017","Não"
"861.805/2012","MINERAÇÂO E TRANSPORTES CORUMBÁ LTDA","CALDAS NOVAS/GO, MARZAGÃO/GO","65","AREIA","10.000 toneladas","23/02/2016","16/04/2016","Não"
"861.889/2012","GERALDO LUIZ RODRIGUES","PARANÃ/TO, CAVALCANTE/GO","4","Minério de Ouro","50.000 Toneladas","11/05/2015","11/03/2017","Não"
"861.889/2012","MINERADORA VALE DO PARANA LTDA ME","PARANÃ/TO, CAVALCANTE/GO","2","MINERIO DE OURO","50.000 TONELADAS","14/03/2018","23/03/2019","Não"
"861.999/2012","VANESSA DE ALMEIDA GOMES","SÃO LUÍS DE MONTES BELOS/GO","37","AREIA","17.007 toneladas","06/07/2016","28/01/2017","Não"
"861.999/2012","VANESSA DE ALMEIDA GOMES","SÃO LUÍS DE MONTES BELOS/GO","18","AREIA","17.007 toneladas","19/08/2015","30/03/2016","Não"
"862.033/2012","CLEMON JOSE BUENO ME","SILVÂNIA/GO","45","AREIA","12.312 toneladas","24/09/2014","11/08/2015","Não"
"866.256/2012","MINERAÇÃO J.E DIAMANTE LTDA","PONTAL DO ARAGUAIA/MT","3","Areia - Cascalho e Diamante","50.000 - 8.500 e 50.00 toneladas","28/03/2018","12/12/2019","Não"
"860.213/2013","ZANDER MACHADO XAVIER","ORIZONA/GO, PIRES DO RIO/GO","16","AREIA","50.000 toneladas","14/04/2015","08/04/2016","Não"
"860.286/2013","V & A. EXTRAÇÃO E COMÉRCIO DE AREIA E CASCALHO LTDA","SÃO PATRÍCIO/GO","13","AREIA","9.580 toneladas","12/07/2017","13/04/2018","Não"
"860.287/2013","V & A. EXTRAÇÃO E COMÉRCIO DE AREIA E CASCALHO LTDA","SÃO PATRÍCIO/GO","12","AREIA","10.670 toneladas","12/07/2017","17/04/2018","Não"
"860.290/2013","V & A. EXTRAÇÃO E COMÉRCIO DE AREIA E CASCALHO LTDA","SÃO PATRÍCIO/GO","14","AREIA","11.491 toneladas","12/07/2017","13/04/2018","Não"
"860.480/2013","COIMBRA BUENO TASSARA","PONTALINA/GO","41","AREIA","26.000 toneladas","21/12/2016","18/07/2017","Não"
"860.480/2013","COIMBRA BUENO TASSARA 02575710197","PONTALINA/GO","19","Areia","12.000 t","08/03/2022","1 (um) ano","Não"
"860.602/2013","AREIA MENEZES LTDA ME","ARAGUARI/MG, CUMARI/GO","8","Areia","50.000 t","28/05/2018","20/05/2019","Não"
"860.615/2013","GUARAMIX COMÉRCIO EXTRAÇÃO E TRANSPORTE DE MINÉRIO LTDA EPP","FORMOSA/GO","33","AREIA","50.000 toneladas","24/09/2014","02/05/2015","Não"
"860.901/2013","JOSÉ ROBERTO DELFINO DE SOUZA ME","RIO VERDE/GO","40","AREIA","12.000 toneladas","24/09/2014","07/07/2015","Não"
"861.022/2013","CEFAS MINERAÇÃO LTDA ME","JAÚ DO TOCANTINS/TO, MONTIVIDIU DO NORTE/GO","22","GRANITO","15.600 toneladas","19/08/2015","20/02/2016","Não"
"861.022/2013","CEFAS MINERAÇÃO LTDA ME","MONTIVIDIU DO NORTE/GO","276","GRANITO (ROCHA ORNAMENTAL)","16.000 TONELADAS","07/07/2020","01/07/2022","Não"
"861.022/2013","CEFAS MINERAÇÃO LTDA ME","MONTIVIDIU DO NORTE/GO","20","Granito","16.000 Toneladas","23/10/2019","02/04/2020","Não"
"861.022/2013","CEFAS MINERAÇÃO LTDA ME","JAÚ DO TOCANTINS/TO, MONTIVIDIU DO NORTE/GO","26","Granito (Pegmatito) - Rocha Ornamental","16.000 t","12/09/2018","10/09/2019","Não"
"861.119/2013","CENTRO MINERAÇÃO LTDA","SÃO JOÃO D'ALIANÇA/GO","816","Manganês","6.000 T","13/04/2020","11/02/2022","Não"
"861.202/2013","MINERADORA MAGO LTDA ME","BELA VISTA DE GOIÁS/GO","21","MICAXISTO","10.000 toneladas","14/09/2017","25/06/2018","Não"
"861.332/2013","JR EXTRAÇÃO E COMÉRCIO DE AREIA LTDA ME","CÓRREGO DO OURO/GO, SANCLERLÂNDIA/GO","7","Areia","18.058 t","09/05/2019","04/04/2020","Não"
"861.332/2013","JR EXTRAÇÃO E COMÉRCIO DE AREIA LTDA ME","CÓRREGO DO OURO/GO, SANCLERLÂNDIA/GO","53","AREIA","19.699 toneladas","08/12/2015","10/09/2016","Não"
"861.620/2013","ZEUS MINERAÇÃO LTDA.","COLINAS DO SUL/GO","81","MINÉRIO DE FERRO","300.000 toneladas","01/10/2021","03 (TRÊS) ANOS, CONTADOS A PARTIR DA PUBLICAÇÃO NO D.O.U","Não"
"861.628/2013","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S A","NIQUELÂNDIA/GO","194","MINÉRIO DE OURO","50.000 toneladas","22/04/2020","13/04/2021","Não"
"861.628/2013","OURO FINO DE GOIÁS MINERAÇÃO LTDA","NIQUELÂNDIA/GO","21","Minério de ouro","50.000 t","16/08/2018","10/08/2019","Não"
"861.648/2013","MINERAÇÃO RAVAZE LTDA ME","GOIÁS/GO","24","AREIA","13.133 toneladas","06/07/2016","15/12/2016","Não"
"861.648/2013","NEILSON GONÇALVES DE ALMEIDA JUNIOR","GOIÁS/GO","6","AREIA","21.340 toneladas","14/04/2015","10/12/2015","Não"
"861.680/2013","TIAGO ANTONIO DE SOUZA DANTAS","JUSSARA/GO, MONTES CLAROS DE GOIÁS/GO","5","AREIA","36.115 toneladas","14/04/2015","19/09/2015","Não"
"861.680/2013","TIAGO ANTONIO DE SOUZA DANTAS ME","JUSSARA/GO, MONTES CLAROS DE GOIÁS/GO","36","AREIA","32.832 toneladas","06/07/2016","13/06/2017","Não"
"861.852/2013","MINERAÇÃO RLRJ LTDA ME","AURILÂNDIA/GO, CÓRREGO DO OURO/GO","20","Areia","15.000 t","17/07/2018","16/07/2019","Não"
"861.861/2013","FORTUNA MINERAÇÃO LTDA","NOVA IGUAÇU DE GOIÁS/GO","102","MINÉRIO DE MANGANÊS","6.000 ton","07/10/2021","01 ANO E 4 MESES? (TOTAL ?DE 16 MESES)?, CONTADOS A PARTIR DA PUBLICAÇÃO NO D.O.U.","Não"
"861.871/2013","AREIAL JL LTDA ME","ITAPURANGA/GO","401","AREIA","16.580 t","24/12/2020","2","Não"
"861.871/2013","LUCENIR FLORIANA NUNES","ITAPURANGA/GO","29","AREIA","22.982 toneladas","19/08/2015","29/09/2016","Não"
"861.898/2013","VETTEL ENGENHARIA & MINERAÇÃO LTDA","ÁGUAS LINDAS DE GOIÁS/GO, COCALZINHO DE GOIÁS/GO","59","AREIA","30.000 toneladas","11/12/2014","24/03/2015","Não"
"860.100/2014","BAAHDRA STIVAL MINERAÇÃO LTDA ME","NOVA VENEZA/GO","53","AREIA","50.000 toneladas","24/09/2014","05/09/2015","Não"
"860.378/2014","TRANSPORTE E COMERCIO CANAÃ LTDA","ÁGUA LIMPA/GO, CORUMBAÍBA/GO","25","AREIA","42.000 toneladas","19/08/2015","30/04/2016","Não"
"860.405/2014","MINERAÇÃO J NETO LTDA ME","ALTO HORIZONTE/GO, MARA ROSA/GO","2016","MANGANÊS","6.000 toneladas","06/07/2016","26/01/2017","Não"
"860.405/2014","MINERAÇÃO J NETO LTDA ME","ALTO HORIZONTE/GO, MARA ROSA/GO","28","Minério de Manganês","6.000 t","04/01/2018","06/09/2018","Não"
"860.405/2014","CEMAN MINERACAO LTDA","ALTO HORIZONTE/GO","28059","MINÉRIO DE MANGANÊS","120.000 toneladas","22/12/2022","3(três) anos","Não"
"860.640/2014","CECIN SARKIS SIMÃO","PADRE BERNARDO/GO","35","Areia e Cascalho.","50.000t e 8500 t","05/12/2018","25/11/2019","Não"
"860.656/2014","NOVA ERA EXTRAÇÃO E TRANSPORTES DE AREIA LTDA ME","CEZARINA/GO, PONTALINA/GO","4","Areia","20.848 t","07/02/2020","08/01/2021","Não"
"860.656/2014","NOVA ERA EXTRAÇÃO E TRANSPORTES DE AREIA LTDA ME","CEZARINA/GO, PONTALINA/GO","41","AREIA","22.982 toneladas","19/08/2015","10/07/2016","Não"
"861.054/2014","VICTOR LEONARDO DE LIMA SOARES ME","MOSSÂMEDES/GO, SANCLERLÂNDIA/GO","38","AREIA","16.416 toneladas","06/07/2016","13/06/2017","Não"
"861.406/2014","LEVANTINA NATURAL STONE BRASIL LTDA","MONTIVIDIU DO NORTE/GO","43","GRANITO","16.000 toneladas","21/12/2016","20/07/2017","Não"
"861.406/2014","LEVANTINA NATURAL STONE BRASIL LTDA","MONTIVIDIU DO NORTE/GO","20","GRANITO (rocha ornamental)","16.000 toneladas","12/07/2017","20/06/2018","Não"
"861.406/2014","LEVANTINA NATURAL STONE BRASIL LTDA","MONTIVIDIU DO NORTE/GO","34","Granito (Rocha Ornamental)","16.000 t","30/11/2018","12/11/2019","Não"
"861.574/2014","NARAE MINERADORA LTDA.","INDIARA/GO","15","AREIA","5.000 toneladas","06/07/2016","01/03/2017","Não"
"861.603/2014","M2M COMÉRCIO DE MARMORES E GRANITOS LTDA","PORANGATU/GO","329","GRANITO (ROCHA ORNAMENTAL)","10.000 t T","18/09/2020","até 31/08/2021","Não"
"831.555/2015","MELLBER COMERCIO IMPORTACAO E EXPORTACAO LTDA","ABADIA DOS DOURADOS/MG, COROMANDEL/MG, CATALÃO/GO, DAVINÓPOLIS/GO","263","DIAMANTE","1.090 ct/ano","22/07/2025","3 anos","Não"
"860.033/2015","ROYAL MINERADORA LTDA. EPP","SÃO DOMINGOS/GO","23","CASSITERITA","300 toneladas","06/07/2016","24/09/2016","Não"
"860.037/2015","MINERAÇÃO ALAZÃO LTDA","MONTIVIDIU DO NORTE/GO","47","GRANITO (rocha ornamental)","16.000 toneladas","21/12/2016","10/11/2017","Não"
"860.037/2015","MINERAÇÃO ALAZÃO LTDA","MONTIVIDIU DO NORTE/GO","22","Granito (Rocha Ornamental)","16.000 t","17/08/2018","10/08/2019","Não"
"860.149/2015","W B S MINERAÇÃO EIRELI","SÃO JOÃO D'ALIANÇA/GO","170","MANGANES","6.000 T","02/12/2019","22/11/2020","Não"
"860.149/2015","W B S MINERAÇÃO LTDA","SÃO JOÃO D'ALIANÇA/GO","31","Minério de Manganês","6.000 t","16/11/2018","30/10/2019","Não"
"860.149/2015","MHP REPRESENTAÇÕES LTDA","SÃO JOÃO D'ALIANÇA/GO","30","Manganês","6000 t","12/12/2017","24/11/2018","Não"
"860.149/2015","FORT MINERACAO EIRELI","SÃO JOÃO D'ALIANÇA/GO","60","MINÉRIO DE MANGANÊS","6.000 t","04/05/2021","02 (DOIS) ANOS, CONTADOS A PARTIR DA PUBLICAÇÃO NO D.O.U.","Não"
"860.149/2015","FORT MINERACAO LTDA","SÃO JOÃO D'ALIANÇA/GO","16","MANGANÊS","6.000 TONELADAS","29/01/2024","36 MESES A CONTAR DA PUBLICAÇÃO NO DIÁRIO OFICIAL DA UNIÃO (VIGÊNCIA DO TCA Nº 33/2022 (SEI Nº 7047631))","Não"
"860.535/2015","LGV MINERAÇÃO LTDA","MONTES CLAROS DE GOIÁS/GO","36","ROCHA POTÁSSICA","100.000 toneladas","18/05/2021","3 ANOS","Não"
"860.581/2015","TRIANGULO MATERIAIS PARA CONSTRUÇÃO LIMITADA","ARAGUARI/MG, ANHANGUERA/GO","9","ARGILA","12.000 T","22/01/2021","01","Não"
