"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação","Data da Cessão"
"Gerência Regional / GO","860969/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","DIORAMA - GO, IPORÁ - GO","MINÉRIO DE NÍQUEL, TERRAS RARAS","Industrial, Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860158/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","SÃO JOÃO D'ALIANÇA - GO","FILITO, SILTITO","Industrial, Industrial","Sim","27/03/2025"
"Gerência Regional / GO","861056/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","JAUPACI - GO, MONTES CLAROS DE GOIÁS - GO","TERRAS RARAS","Industrial","Sim","20/05/2026"
"Gerência Regional / GO","861049/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","DIORAMA - GO, MONTES CLAROS DE GOIÁS - GO","TERRAS RARAS","Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860990/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE NÍQUEL, TERRAS RARAS","Industrial, Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860989/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","DIORAMA - GO","MINÉRIO DE NÍQUEL, TERRAS RARAS","Industrial, Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860980/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","DIORAMA - GO, MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE NÍQUEL, TERRAS RARAS","Industrial, Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860978/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.897.104/0001-52","SALPAR PARTICIPACOES LTDA","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE NÍQUEL, TERRAS RARAS","Industrial, Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860716/2021","Requerimento de Pesquisa - Oferta Pública ","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","19/04/2023"
"Gerência Regional / GO","860481/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTIVIDIU DO NORTE - GO","TERRAS RARAS","Industrial","Sim","19/04/2023"
"Gerência Regional / GO","860480/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","ARRAIAS - TO, MONTE ALEGRE DE GOIÁS - GO","TERRAS RARAS","Industrial","Sim","19/04/2023"
"Gerência Regional / GO","860206/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","27/03/2025"
"Gerência Regional / GO","862008/1995","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.392.929/0001-39","IPE Industria e Comercio de Água Mineral e Refrigrerantes Ltda","HIDROLÂNDIA - GO","ÁGUA MINERAL","Demais substâncias","Sim","25/06/1997"
"Gerência Regional / GO","861426/2007","Requerimento de Autorização de Pesquisa","Concessão de Lavra","36.829.356/0001-80","CATALANA IND E COM DE ARTEFATOS DE CIMENTO E CONST LTDA","CORUMBAÍBA - GO, CUMARI - GO, NOVA AURORA - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim","20/04/2012"
"Gerência Regional / GO","861351/1985","Requerimento de Autorização de Pesquisa","Concessão de Lavra","73.935.660/0001-38","Kananxuê Thermas Mineração Ltda.","CALDAS NOVAS - GO","ÁGUAS TERMAIS","Demais substâncias","Sim","05/07/1989"
"Gerência Regional / GO","860228/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.665.281/0001-90","Carmo Mineração Industria e Comercio Ltda","GOIÂNIA - GO","ÁGUA MINERAL","Demais substâncias","Sim","01/12/1999"
"Gerência Regional / GO","861573/2007","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","11.129.862/0001-35","Mineradora Vale do Rio Verde Ltda Me","COCALZINHO DE GOIÁS - GO, PADRE BERNARDO - GO","AREIA, FILITO, MINÉRIO DE OURO","Construção civil, Industrial, Industrial","Sim","29/11/2010"
"Gerência Regional / GO","860378/1997","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","05.886.573/0001-88","Ar Construtora e Mineradora Ltda","MONTE ALEGRE DE GOIÁS - GO","CASSITERITA, GRANITO","Brita, Demais substâncias","Sim","01/12/2000"
"Gerência Regional / GO","861899/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","13.166.181/0001-72","F C CINTRA - PEDREIRA","ARAGUAPAZ - GO","GRANITO, GRANITO","Brita, Revestimento","Sim","04/03/2013"
"Gerência Regional / GO","860516/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.557.708-**","GUSTAVO RETZ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","16/10/2006"
"Gerência Regional / TO","861889/2012","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","19.320.400/0001-02","MINERADORA VALE DO PARANA LTDA","CAVALCANTE - GO, PARANÃ - TO","MINÉRIO DE OURO","Industrial","Sim","05/04/2016"
"Gerência Regional / GO","861332/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","20.766.728/0001-36","J R EXTRACAO E COMERCIO DE AREIA LTDA","CÓRREGO DO OURO - GO, SANCLERLÂNDIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","11/06/2014"
"Gerência Regional / GO","861332/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","20.766.728/0001-36","J R EXTRACAO E COMERCIO DE AREIA LTDA","CÓRREGO DO OURO - GO, SANCLERLÂNDIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","22/11/2021"
"Gerência Regional / GO","860946/2010","Requerimento de Disponibilidade para pesquisa","Concessão de Lavra","21.240.477/0001-14","Oliveira e Conti Ltda Me","GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","23/01/2015"
"Gerência Regional / GO","860946/2010","Requerimento de Disponibilidade para pesquisa","Concessão de Lavra","21.240.477/0001-14","Oliveira e Conti Ltda Me","GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","07/10/2011"
"Gerência Regional / GO","860590/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.723.191-**","LAIMON JHEITON MACEDO LACERDA","ARAGUAPAZ - GO, MATRINCHÃ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","07/03/2024"
"Gerência Regional / GO","860771/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","46.201.119/0001-23","RED RIVER GOLD MINING LTDA","MONTE ALEGRE DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","20/05/2026"
"Gerência Regional / GO","860716/2021","Requerimento de Pesquisa - Oferta Pública ","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860680/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO, SANTA FÉ DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860679/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","DIORAMA - GO, MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860678/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860677/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860676/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860675/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","SANTA FÉ DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860674/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO, SANTA FÉ DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860673/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","BOM JARDIM DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860672/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860671/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","JUSSARA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860670/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","SANTA FÉ DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860667/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","DIORAMA - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860666/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860481/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTIVIDIU DO NORTE - GO","TERRAS RARAS","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860480/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","ARRAIAS - TO, MONTE ALEGRE DE GOIÁS - GO","TERRAS RARAS","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860441/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860440/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","DIORAMA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860439/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","DIORAMA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860438/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","DIORAMA - GO, JAUPACI - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860437/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860334/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860333/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860332/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860331/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860330/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","27/03/2025"
"Gerência Regional / GO","860206/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","55.757.080/0001-16","ATLAS RECURSOS MINERAIS LTDA.","MONTES CLAROS DE GOIÁS - GO","MINÉRIO DE COBALTO, MINÉRIO DE COBRE, MINÉRIO DE NÍQUEL","Industrial, Industrial, Industrial","Sim","19/04/2023"
"Gerência Regional / GO","811383/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.519.280/0001-49","MAP MINERACAO AGRO PECUARIA LIMITADA","PLANALTINA - GO","CALCÁRIO","Demais substâncias","Sim","28/07/1992"
"Gerência Regional / GO","862638/1980","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.013.416/0001-07","SERRA DAS CALDAS MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","29/12/1993"
"Gerência Regional / GO","862722/1980","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.186.028/0001-90","ORSEL MINERADORA LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","12/07/1995"
"Gerência Regional / GO","860882/2017","Requerimento de Mudança de Regime para Aut. de Pesquisa","Autorização de Pesquisa","02.243.228/0001-38","MINERACAO ORCALINO FERREIRA GUIMARAES LTDA","RIO VERDE - GO","BASALTO","Brita","Sim","10/04/2019"
"Gerência Regional / GO","862008/1995","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.392.929/0001-39","IPE Industria e Comercio de Água Mineral e Refrigrerantes Ltda","HIDROLÂNDIA - GO","ÁGUA MINERAL","Demais substâncias","Sim","25/06/1998"
"Gerência Regional / GO","862645/1980","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.286.358/0001-10","MINERACAO CALDAS NOVAS LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","27/05/1994"
"Gerência Regional / GO","860235/2008","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.702.149/0001-00","RIBEIRO PAIVA AREIA EIRELI","RIO VERDE - GO","AREIA, CASCALHO, DIAMANTE","Construção civil, Construção civil, Industrial","Sim","18/01/2012"
"Gerência Regional / GO","860544/2009","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.949.545/0001-32","DRAGA BATISTA RAMOS LTDA","SILVÂNIA - GO","AREIA","Construção civil","Sim","06/01/2016"
"Gerência Regional / GO","861426/2007","Requerimento de Autorização de Pesquisa","Concessão de Lavra","36.829.356/0001-80","CATALANA IND E COM DE ARTEFATOS DE CIMENTO E CONST LTDA","CORUMBAÍBA - GO, CUMARI - GO, NOVA AURORA - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim","27/02/2015"
"Gerência Regional / GO","861351/1985","Requerimento de Autorização de Pesquisa","Concessão de Lavra","73.935.660/0001-38","Kananxuê Thermas Mineração Ltda.","CALDAS NOVAS - GO","ÁGUAS TERMAIS","Demais substâncias","Sim","29/08/2007"
"Gerência Regional / GO","860698/1997","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.428.437/0001-56","GOYA INDUSTRIA E COMERCIO DE AGUA MINERAL LTDA","BOM JESUS DE GOIÁS - GO","ÁGUA MINERAL","Demais substâncias","Sim","07/02/2000"
"Gerência Regional / GO","860228/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.665.281/0001-90","Carmo Mineração Industria e Comercio Ltda","GOIÂNIA - GO","ÁGUA MINERAL","Demais substâncias","Sim","04/07/2000"
"Gerência Regional / GO","861854/2010","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.676.286-**","EDUARDO FERNANDES","CRISTALINA - GO","QUARTZO","Artesanato  mineral","Sim","10/04/2019"
"Gerência Regional / GO","861007/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.679.568-**","Olaf Winking","CRISTALINA - GO","AREIA, MINÉRIO DE OURO, QUARTZO","Construção civil, Industrial, Industrial","Sim","19/04/2023"
"Gerência Regional / GO","860458/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","07.282.674/0001-75","AREIA SAO TOMAZ EIRELI","RIO VERDE - GO","AREIA","Construção civil","Sim","11/12/2006"
"Gerência Regional / GO","862639/1980","Requerimento de Autorização de Pesquisa","Concessão de Lavra","08.455.683/0001-83","PAINEIRAS MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","21/03/2007"
"Gerência Regional / GO","860598/1986","Requerimento de Registro de Licença","Concessão de Lavra","03.279.056/0001-15","CABECAL - CALCARIO DE CABECEIRAS MINERACAO LTDA","CABECEIRAS - GO","CALCÁRIO DOLOMÍTICO","Corretivo de solo","Sim","14/09/2009"
"Gerência Regional / GO","860643/2012","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Lavra","07.151.296/0001-90","LÍDER DISTRIBUIDORA DE AREIA LTDA","PIRACANJUBA - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","28/12/2017"
"Gerência Regional / GO","809177/1972","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","04.841.067/0001-00","UIRAPURU MINERACAO LTDA","OUVIDOR - GO","VERMICULITA","Demais substâncias","Sim","20/10/2006"
"Gerência Regional / GO","862558/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.907.231-**","Edieliton Gonzaga de Oliveira","CALDAZINHA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","17/08/2016"
"Gerência Regional / GO","861276/2008","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","12.069.549/0001-11","Itamix Mineração Industrial Ltda","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","03/11/2010"
"Gerência Regional / GO","861573/2007","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","11.129.862/0001-35","Mineradora Vale do Rio Verde Ltda Me","COCALZINHO DE GOIÁS - GO, PADRE BERNARDO - GO","AREIA, FILITO, MINÉRIO DE OURO","Construção civil, Industrial, Industrial","Sim","22/12/2011"
"Gerência Regional / GO","860378/1997","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","05.886.573/0001-88","Ar Construtora e Mineradora Ltda","MONTE ALEGRE DE GOIÁS - GO","CASSITERITA, GRANITO","Brita, Demais substâncias","Sim","16/02/2011"
"Gerência Regional / GO","861305/2007","Requerimento de Autorização de Pesquisa","Concessão de Lavra","12.970.546/0001-54","DRAGA SAO BENTO E TRANSPORTES LTDA","GOIANÉSIA - GO, SANTA ISABEL - GO","AREIA","Construção civil","Sim","18/01/2012"
"Gerência Regional / GO","861262/2014","Requerimento de Autorização de Pesquisa","Concessão de Lavra","13.342.485/0001-43","MINERACAO ANTONELLI LTDA","ANÁPOLIS - GO","GRANULITO, QUARTZITO","Revestimento, Revestimento","Sim","08/09/2016"
"Gerência Regional / GO","862051/2011","Requerimento de Disponibilidade para pesquisa","Concessão de Lavra","13.648.937/0001-10","Cpx Goiana Mineração S.a.","FORMOSA - GO","ARGILA, CALCÁRIO, CALCÁRIO CALCÍTICO, FOSFATO, MARGA, SILTITO","Brita, Fabricação de cal, Fabricação de cimento, Fertilizantes, Industrial, Industrial","Sim","18/01/2012"
"Gerência Regional / GO","861359/2015","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","14.740.275/0001-76","Mineração Curral de Pedra Ltda","FAINA - GO","MINÉRIO DE OURO","Industrial","Sim","13/06/2016"
"Gerência Regional / GO","861899/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","13.166.181/0001-72","F C CINTRA - PEDREIRA","ARAGUAPAZ - GO","GRANITO, GRANITO","Brita, Revestimento","Sim","15/12/2015"
"Gerência Regional / GO","861237/2024","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","15.473.167/0001-47","MINERIUM DO BRASIL MINERACAO LTDA","SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860516/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.557.708-**","GUSTAVO RETZ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","08/03/2017"
"Gerência Regional / TO","861889/2012","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","19.320.400/0001-02","MINERADORA VALE DO PARANA LTDA","CAVALCANTE - GO, PARANÃ - TO","MINÉRIO DE OURO","Industrial","Sim","24/03/2022"
"Gerência Regional / GO","860441/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","20.847.382/0001-09","PLIMGOLD MINERACAO LTDA","DIVINÓPOLIS DE GOIÁS - GO, SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","14/10/2014"
"Gerência Regional / GO","861332/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","20.766.728/0001-36","J R EXTRACAO E COMERCIO DE AREIA LTDA","CÓRREGO DO OURO - GO, SANCLERLÂNDIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","24/10/2014"
"Gerência Regional / GO","860946/2010","Requerimento de Disponibilidade para pesquisa","Concessão de Lavra","21.240.477/0001-14","Oliveira e Conti Ltda Me","GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","06/09/2022"
"Gerência Regional / GO","860709/2016","Requerimento de Cessão parcial","Requerimento de Lavra","21.262.946/0001-04","AREIAL JL LTDA","ITAPURANGA - GO, SÃO PATRÍCIO - GO","AREIA","Construção civil","Sim","28/08/2019"
"Gerência Regional / GO","860236/2009","Requerimento de Cessão parcial","Concessão de Lavra","22.734.502/0001-89","Jc Mineração Eireli Me","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA","Construção civil","Sim","25/04/2016"
"Gerência Regional / GO","860652/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","25.982.566/0001-97","CALFORTE BENEFICIAMENTO DE CALCARIO LTDA","CEZARINA - GO, INDIARA - GO","CALCÁRIO, CALCÁRIO","Corretivo de solo, Fabricação de cimento","Sim","07/10/2021"
"Gerência Regional / GO","861390/2009","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","22.008.474/0001-12","Vicente Gomes Costa Neto","BELA VISTA DE GOIÁS - GO","MINÉRIO DE OURO, QUARTZITO","Industrial, Industrial","Sim","21/11/2019"
"Gerência Regional / GO","860169/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","12.357.823/0001-58","AGROINDUSTRIAL FAZENDA MARQUESA LTDA","SANTO ANTÔNIO DA BARRA - GO","ROCHA POTÁSSICA","Industrial","Sim","11/05/2017"
"Gerência Regional / GO","861543/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","39.696.928/0001-98","JUNQUEIRA MINERADORA EIRELI","ARAGUAPAZ - GO, FAINA - GO, MATRINCHÃ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","17/03/2026"
"Gerência Regional / GO","861543/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","39.696.928/0001-98","JUNQUEIRA MINERADORA EIRELI","ARAGUAPAZ - GO, FAINA - GO, MATRINCHÃ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","17/03/2026"
"Gerência Regional / GO","860655/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","40.378.923/0001-04","JDM EXTRACAO DE AREIAS LTDA","ALOÂNDIA - GO, MORRINHOS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","17/11/2015"
"Gerência Regional / GO","860655/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","40.378.923/0001-04","JDM EXTRACAO DE AREIAS LTDA","ALOÂNDIA - GO, MORRINHOS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","19/04/2023"
"Gerência Regional / MG","831555/2015","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","08.066.095/0001-58","MELLBER COMERCIO E EXPORTACAO DE PEDRAS PRECIOSAS LTDA","ABADIA DOS DOURADOS - MG, CATALÃO - GO, COROMANDEL - MG, DAVINÓPOLIS - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim","30/03/2023"
